0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.92841638 3881.22166399],[1475.03227231 1762.18588259],[144.30240073 169.39337004],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.71578485 2815.76292405],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 184.89687798 1981.26244013],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.91189574 1641.92946648],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.54441046 3219.64938113],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.40507556 3409.59687762],[3950.           62.99502579],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.9574055  1037.32028692]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[143.92296394 169.01393326],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.34910592 3525.40554185],[3509.38072694  305.55601463],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.50123321 1382.86715163],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2967.442401   2490.04535884],[448.49555255 739.77623906],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22462607 2213.1383916 ],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.87567048   62.58228424],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
[1595.48323278  137.57070104],[ 977.178065  3397.0744175],[1371.31467847  530.88209846],[2152.70981953 3881.00306714],[1474.58055274 1761.73416302],[144.21135509 169.30232441],[2877.06794186 3241.83274658],[ 577.9469057  3695.49213863],[1393.09142285 2271.31212166],[1791.79673075 2126.50443985],[1171.43758408 1232.68161523],[1276.2641308  3063.98677398],[2330.07122033  290.78438474],[2341.312128   3525.36856393],[3509.20376649  305.37905418],[3407.73654317 2624.90538882],[3946.94481733 1925.21936611],[3793.88180262 1507.90321539],[3459.97828123  804.878918  ],[2043.6619542 2815.7090934],[3777.82393174 3084.62381713],[762.11797681 148.06050897],[ 749.5891208  1899.86607736],[3224.77089958 1496.62901372],[ 175.68006852 1383.04598694],[ 672.0161326  2377.66187753],[2254.91334037  711.81081928],[1178.16749289 3939.93361627],[2717.54602606 1296.85819401],[2966.99611849 2489.59907632],[448.48838241 739.76906892],[2881.7796932  1785.91908371],[ 185.04395974 1981.40952189],[2969.27412466 3788.88028995],[2853.56105422   81.01303799],[3778.84892137 3495.18913659],[1652.14658434 1286.11028981],[ 763.31768288 1241.21112031],[2441.22242036 2213.13618588],[2238.96655186 1641.9841226 ],[3918.15384289 2700.64444013],[1663.38163547 3692.20597998],[ 578.5517631  3219.65673378],[  76.1887376  3389.43086334],[ 162.20322728 2684.79873002],[3314.62404409 3409.81584615],[3949.90160114   62.6082149 ],[ 188.64858099 3924.9123044 ],[3422.14618644 2099.39327638],[3879.89466603 1037.25754745]
