0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1597.8866899236573,93.91102559223116,978.0262650736072,3396.6096743791045,1375.2728170810433,532.1556231540728,2153.4325358801602,3880.7884629098903,1474.8643015560938,1829.9174982550335,156.30856817119172,171.27336740278324,2879.5496565224876,3254.1910871701252,579.6105304183931,3689.544991096504,1396.3479133279493,2270.6390283034616,1779.5408477216336,2111.946877438503,1178.090413942428,1233.3514701628505,1216.0102926705686,3063.8206938115154,2332.6670004407465,320.6231538552063,2340.957638283713,3519.4562560673207,3511.7586595520293,314.1983958148258,3410.332286642129,2603.476864821345,3868.8025814911607,1928.7907418586599,3795.6504789100463,1510.808148432598,3458.906505160733,805.4756317331793,2042.8197001017545,2808.147141594369,3779.353581926087,3094.8309437057533,747.2357535044049,149.81157311107515,752.6323370042952,1886.6065269012345,3220.746919008917,1503.0427633032898,180.2390667086221,1388.5024167462186,671.1277300199158,2357.045072703445,2257.012800565373,741.3493238107657,1174.4324604429712,3906.065751819465,2716.6337214238065,1298.9536626019326,2969.7809577163234,2486.9653284666306,450.3734212389135,736.7224784051677,2883.481772209152,1785.1691845332737,92.54056156162886,1983.170175574752,2960.992569655602,3749.7071259808013,2853.9412146251652,805.6227723346605,3925.172153194339,3488.95296335248,1650.7434079475934,1284.0991111256144,763.8162518058039,1237.9939693541414,2448.210887311843,2210.819914004583,2245.785533817444,1602.2891475030835,3906.08875253817,2698.5167544714677,1666.685136606568,3691.6760134272963,571.603724833555,3218.1518034146266,86.01598862075117,3389.933778220425,156.4177454132051,2750.207930464842,3350.468829921329,3407.8176074808116,3924.468396904772,75.52479215316464,180.44903903471538,3819.8161776304164,3427.2338191322388,2119.1682898955855,3877.8106273735466,1038.5794088005032
1599.56777077,93.70696067,977.69086085,3396.74435268,1385.660456,531.69559985,2152.72829952,3880.75702752,1475.16977927,1828.98303877,156.2256352,172.12015106,2879.6632848,3224.29584445,580.30376357,3688.43989335,1396.06929631,2270.6975568000003,1775.13695957,2112.00022028,1175.73037279,1233.17003113,1218.70782628,3066.72733004,2332.14457732,325.94905138,2337.48817619,3517.75127575,3511.48431567,313.43449385,3368.78037911,2603.46380248,3866.29908888,1925.38475969,3774.19438724,1511.07574697,3461.77646648,802.85640803,2042.81879021,2808.34950352,3770.12188504,3101.74269975,746.14373384,150.54629640000002,750.81296614,1882.14693237,3223.89166344,1502.6271973,180.61527334,1388.53927504,670.86268055,2357.21517467,2256.66008049,741.36611718,1177.30852739,3882.25072579,2715.78245101,1298.93391261,2971.06525856,2487.04235763,450.90950812,736.11169998,2884.57424705,1785.35243617,93.22534524,1983.19979709,2961.01578193,3747.47295462,2853.95122113,804.4982057999999,3945.07707014,3489.24277505,1652.47307651,1284.27462761,763.88665498,1237.97117534,2448.166687,2210.76038531,2242.77645543,1603.06975408,3905.47044191,2698.09870495,1665.43333142,3690.30115181,572.98158952,3217.26581343,100.80862090000001,3389.45117619,186.3913866,2750.50123058,3351.57752029,3408.00774111,3924.39050607,74.17474707,180.54735695,3820.09163964,3425.80751202,2120.04026762,3881.62212234,1039.68716322
1597.95653261,134.53343899,977.48522468,3396.74355247,1375.30564498,531.23380157,2152.72098747,3880.73185831,1474.92374613,1829.63956468,156.39952839,171.27086427,2879.43544777,3233.2569326,579.48269012,3689.46490189,1396.26634174,2270.71815883,1779.44255247,2111.94540757,1176.75637847,1233.31371684,1215.94529169,3063.74962774,2331.18159325,293.54683727,2338.66452419,3520.24586226,3511.72400648,311.74008547,3410.3503916999994,2603.48302052,3868.82576476,1929.86612471,3795.43721141,1510.81138473,3459.65782449,805.22930214,2042.81255234,2808.15035424,3779.3382608,3089.49265388,747.05902315,149.75964357,750.78387827,1886.75151371,3226.61376382,1502.52433869,180.26680323,1388.50768792,671.01032291,2357.18914008,2257.02173619,741.35000204,1174.17201301,3925.83155917,2716.79978268,1298.94448267,2969.80652457,2487.13615837,450.43972512,736.7243736,2883.49447021,1785.23704572,63.57802648,1983.27478938,2960.96637901,3749.6890634,2853.95119548,804.61387208,3925.25860056,3489.1483721999994,1650.76437387,1284.1616117,763.82294106,1238.00468577,2448.1965115,2210.74339407,2245.77794815,1602.10009505,3890.45933511,2698.50784743,1666.40101337,3691.65142174,571.63325528,3218.36697366,57.02565892,3389.90768529,156.00600715,2749.96087036,3350.66341735,3408.01237321,3924.41594492,73.12451628,180.39564613,3819.99324925,3427.63220434,2119.14165581,3879.0004446999997,1037.28425093
1597.85263469,131.8113929,977.70246939,3396.75947469,1375.25232604,530.84199599,2152.72230357,3880.78652763,1474.85282302,1829.59728722,156.20464497,171.23385598,2879.74478949,3252.8304049000003,579.75171475,3689.53794959,1396.35343635,2270.68703388,1779.55220161,2111.9399923,1175.69867886,1233.35019637,1216.00889202,3063.8653265000003,2331.25589313,293.5794816,2338.55433339,3520.28513584,3511.72810588,311.41878714,3410.80740681,2603.54291424,3868.80556419,1928.76529601,3795.31340739,1510.81701169,3459.74728375,805.21983324,2042.84768248,2808.15269828,3779.38694743,3089.45784358,747.22388034,149.8007895,750.77972629,1886.75476974,3227.2000669,1502.54011081,180.28077206,1388.5048206,670.59132547,2357.1881905,2257.01354443,741.39048846,1174.43401949,3905.95951134,2716.6514259,1298.93596492,2969.96057603,2487.20728417,450.69602354,736.79015982,2883.47743328,1785.2758309,201.91603614,1983.02282832,2960.95946229,3749.69251039,2853.76927096,804.66851391,3927.84836319,3488.78778303,1650.78578478,1284.27794442,763.82225374,1237.96757078,2448.21442517,2210.42626047,2245.78043198,1602.08577451,3905.24550685,2698.54269328,1666.39044065,3691.67203925,571.55959785,3218.37216703,86.05360663,3389.88845679,160.20896616,2750.21347142,3350.49801301,3407.94959895,3924.50329852,73.00614846,180.71161329,3926.88473185,3426.75871563,2119.16913022,3880.20575254,1037.17353142
2710.66832668,2756.98239178,3157.92561126,3137.01216675,2860.3672848,2065.39283385,3854.36245804,3415.95856441,1624.16177579,2647.99321787,3858.84339517,1350.97247368,1531.58019039,3715.38885258,3272.47783585,1076.05916283,3207.99884347,670.19413607,2058.26240108,1414.3001772,3344.91867459,2058.69272689,649.79344318,3577.05179408,134.15222783,919.70461194,1759.26892512,3186.54191838,826.41801311,2993.39373509,2223.1121676,2693.02251779,992.07311987,1712.12275606,2659.21209419,3405.51919257,2489.67361523,1611.5997205999997,1911.47440705,752.13491001,87.56949438,2818.09376247,2598.05213845,142.02127561,488.34357602,1438.83777591,3735.84600754,2856.59434975,3756.89590848,3906.95904811,233.95761942,3912.20446649,609.96922093,189.33368185,3006.20968976,3756.87678101,471.98991174,2138.78431295,3695.18846008,225.75472052,1023.56295569,187.98916766,693.84983454,770.5421557,1605.1755471,1433.47193755,1723.44384814,1941.42740956,1555.14408179,77.18234706,3223.13883489,225.62848223,57.62411489,1367.28497002,1132.12351074,616.18224053,83.21210804,2245.79793447,1093.64266428,3939.00640095,2434.59255885,662.67682589,1952.54299935,3567.22732461,2850.61848556,895.30329876,1083.38320332,2140.76639958,3864.41388761,2373.77170853,3858.11252785,934.56489252,216.49523901,3219.31785336,1078.42601954,3339.43655075,3707.96219019,1755.33033833,129.43650852,249.31769821
2840.44242585,50.00433554,1306.84676872,2584.85683827,2400.88487395,3939.67257986,3744.18347289,2999.01257751,3748.87532702,1426.64413042,3390.05537447,1020.50452747,809.59397904,50.0,2469.71365826,1885.73298582,3109.93025609,488.62376198,2184.2463563,2233.25175783,1417.42317593,3306.62368867,2716.30504272,759.93636738,1774.66646922,1651.13215841,774.89186884,1404.01332888,681.48206604,2705.34841797,1097.1712763,1073.05661797,1263.39333192,50.0,2880.57815218,3452.33604872,3291.69515285,1808.35937319,2116.36963304,50.0,3937.64367961,3903.88076192,50.0,3043.14213003,111.94011212,646.01766779,2454.14343967,1072.4902313,1115.23437706,3598.32840058,3905.56683372,726.90328495,1709.92323542,50.0,3539.0226571000003,3950.0,52.15718351,3444.07422438,63.85658965,1563.00845573,50.0,1043.32654226,3706.31271099,2599.20586996,50.0,2104.43923836,884.73987312,3950.0,3268.04378172,3264.82956901,1759.19733546,3949.99999308,1156.20283754,2171.0514465,1779.98599826,2161.23164286,2812.69477294,2120.18984885,183.46333963,251.72262741,1549.98877618,1067.16580579,2173.80644967,1611.97286909,1586.60242881,628.97444351,2929.8067432,1356.6932242,3950.0,50.000000299999996,3950.0,2275.89773012,2804.43831489,3950.0,3245.64307199,2598.94764797,1330.79926167,3950.0,3593.90751316,359.56090232
1847.93076844,1232.01110993,2814.97940763,3942.84613391,834.29588904,3086.87574332,3950.0,3197.92673114,2570.9905263,1461.01961618,2409.92750382,3950.0,3561.75715327,1127.70388349,2453.90309656,2027.04834215,1866.62357686,829.12290463,1260.67525537,50.0,3948.32919219,925.00182523,1465.84839393,3854.60991232,211.86464689,2613.68697154,2435.76819613,3307.8375812,544.43624633,991.44279784,1435.09163607,770.32934636,2611.47796453,50.0,3745.8583516000003,3564.72055227,3950.0,2572.87035241,50.0,1736.65773303,3166.53386406,2870.967765,2634.3384156999996,2678.37422212,3197.4770834,2002.24806883,834.29898966,1909.97768441,2115.45986454,50.00001446,1438.58334507,2799.09368031,50.0,386.27208543,50.0,2152.40919378,2822.40238576,412.68876423,661.92635888,3950.0,1105.02300285,496.09654937,414.32972882,211.35165455,1009.38469088,2724.36287335,3176.20191178,50.0,3520.54772586,3950.0,3409.57795551,3281.79262453,1957.32211412,3949.74287238,3714.86416587,1796.37909762,3949.99932788,50.0,64.200497,3580.97401226,1073.46679738,3937.32387709,3949.99999633,453.54875178,3949.56817421,2156.11754042,2258.37404732,711.32209395,1890.70933357,2386.18752633,859.78808239,52.29698206,464.11937266,1384.91744556,3008.19404149,3323.91000292,1698.29719424,50.00030109,1420.28836466,1586.39910984
50.0,764.39007268,3950.0,2183.33553227,50.00004662,1186.14378331,2358.70889497,937.80037187,797.16274995,73.48441363,3113.88737319,77.30449402,50.0,2604.08416246,3830.63751499,2854.29833749,3940.82814235,3950.0,3950.0,3549.44982636,2277.0138201,3654.11279286,1080.32091979,2059.26980302,51.54431266,3330.34156836,50.0,3936.99488856,3424.1813844000003,2185.97197758,1922.57025725,862.17749249,771.7178535,1292.11214037,1755.84266921,1618.04089404,2400.72090063,2678.02427076,450.41393336,3948.9312375,1601.27026865,3431.68853244,3950.0,57.94028604,3547.26442435,50.13489334,50.73629354,1596.03047766,2689.22712683,546.7827359,1193.99491797,959.54245281,2493.67793726,50.00000001,50.0,50.0,66.14839546,2203.50633994,2794.64775002,3949.9771522,3949.4045596,1580.89756075,1088.11839993,1658.57221626,2004.61805712,3196.4183684,2007.07368554,3950.0,895.33025681,3949.9677905999997,1423.62919277,3950.0,3947.92650708,1054.00626188,2070.37590367,52.30462517,328.9355902,1899.40156636,3548.46701359,1540.26479699,1647.36042194,50.0,256.37200847,405.69657166,1197.07845267,50.32426173,1422.16638036,620.20741773,3120.05437153,3110.98239348,3950.0,626.69502341,1770.03977058,2196.67277577,691.17779904,1728.50026516,3467.80925245,445.54536563,3541.00398099,3621.44759735
1595.88830862,138.52736488,977.65935933,3397.04057182,1371.66800478,531.49921375,2152.21340086,3880.15514732,1474.53715472,1761.57609153,145.79181459,171.17512382,2876.5331349,3241.30941136,579.37566066,3696.48246287,1392.29619559,2270.56479275,1792.55583563,2127.02106024,1172.39218533,1233.67589619,1276.07471608,3064.12948639,2331.10331139,291.98891439,2341.08352892,3524.97817873,3509.51864707,306.0191868,3407.54687084,2624.54843642,3941.09388796,1924.61302309,3791.99951251,1508.09141339,3459.93562583,806.20865035,2043.58583583,2815.50625811,3777.59138161,3084.52512867,762.22014089,148.18514430000002,749.78688388,1899.38816898,3224.50417495,1496.09625719,177.46348923,1383.22623639,672.86399557,2378.35426266,2255.01514109,713.55409423,1178.49107168,3939.79690294,2716.62481927,1296.78847429,2967.0036064,2489.53378794,448.99175845,740.19955501,2881.72703774,1786.52991985,185.05470969,1981.46850346,2969.28981997,3788.6506971999997,2853.64022086,81.14549962,3777.65067362,3492.36442633,1652.70103647,1286.63601812,763.12771665,1240.95585997,2441.23804511,2213.15905706,2240.1419999,1642.90737936,3918.02060858,2700.62642873,1663.05636748,3691.9229551,578.02349128,3218.79833798,77.63872137,3390.67666851,163.16077307,2685.65061592,3313.99257838,3409.07246157,3949.45782051,62.56651631,188.75544130000003,3924.71534285,3421.80744926,2099.01639718,3880.40471893,1037.91577524
2354.41319768,2319.08011416,1289.9212736,1192.44461829,1690.63737596,1893.31710545,893.52737348,2625.52008999,2066.28526229,743.88052754,3561.0610912,593.70973275,890.60522689,540.87408412,3591.25083355,2571.51506641,2520.15435982,467.63802016,2990.71506941,155.24772043,246.43000508,2122.14240212,50.06094968,3411.6689051,3376.82183459,2196.26679534,1805.62700139,2974.01523705,1404.89627615,2179.43106699,539.88761299,3949.90422971,3949.48273589,1519.09042511,1661.53105535,50.0,50.0,1711.82805481,3293.32331242,3269.57621597,3183.49857744,3949.99912095,3523.38295027,3684.16826157,50.0,3949.95885032,64.31966016,1311.5315346,3949.99932704,50.0,3949.99494134,1000.28044445,2245.15290796,3950.0,54.82356047,2514.94354742,3950.0,3949.99065295,2860.05406301,1555.55227283,1692.71234411,889.69108005,1565.3259904000001,3305.51409283,2176.81235771,1337.119974,418.44493257,116.13325192,813.54900778,50.0,2944.33459786,2689.25592094,50.0,2918.99744477,3949.98652563,3522.51203329,3949.7913840000006,471.77751424,1458.90725024,3911.49019367,948.21307471,3949.99916083,50.17166704,439.28197415,50.61805704,904.08610418,1855.22757634,3852.33255543,3562.43788332,151.85773283,2782.32940951,3949.90319806,2937.14540568,1101.79754848,3949.96719001,2389.94161037,756.39288113,1471.92131485,3949.66710266,1962.04087494
