x,y
50.00000028,514.69897157
50.0,917.04955369
50.0,1337.85485939
50.0,1785.27379897
50.0,2245.3194603
50.0,2680.0430735
50.0,3083.265623
50.0,3519.45410577
3950.0,479.35568655
3950.0,917.48601326
3950.0,1349.03805351
3950.0,1814.39536028
3950.0,2218.07221476
3950.0,2638.73336212
3950.0,3046.06577865
3950.0,3526.22275494
50.0,3950.0
519.22885581,3950.0
932.68778499,3950.0
1337.86246418,3950.0
1763.25731819,3950.0
2227.89372314,3950.0
2647.91745844,3950.0
3078.29590205,3950.0
3486.19410771,3950.0
3950.0,3950.0
50.0,50.00004396
476.84552371,50.0
901.43469093,50.0
1323.18404523,50.0
1791.02229162,50.0
2230.37323803,50.09173903
2642.12337712,50.00441877
3064.43944298,50.0
3478.46418302,50.0
3950.0,50.0
1572.8952942,1580.09878347
2412.48905296,2435.0948761
1579.34224171,2424.12429931
2407.12806557,1127.34289376
1585.20344649,2884.50668823
2870.058954,2438.41028442
666.15106933,2360.57438304
1424.6555557,692.12110969
3296.00586568,1436.07502092
2756.84041448,3317.33132403
2960.81229119,1040.04929764
751.2674915,1694.84033823
3150.39613128, 3544.00118426 
1973.09899362, 1436.32443817
