x,y
50.01116929,495.21060237
50.57266794,921.24786688
50.15358533,1340.16185644
50.16371356,1771.59797156
50.3184123,2216.19803121
50.24751893,2619.54247912
50.09164383,3105.42872773
50.0,3540.91108728
3950.0,513.23811429
3950.0,920.54669491
3950.0,1323.34515104
3950.0,1799.36230283
3950.0,2202.191265
3950.0,2640.41810686
3950.0,3052.45250503
3950.0,3470.5672578
50.52338153,3950.0
523.92263249,3950.0
994.62234853,3950.0
1399.71751673,3950.0
1812.03117034,3950.0
2220.27536499,3950.0
2665.69570415,3950.0
3073.5011117,3950.0
3516.40442961,3950.0
3950.0,3950.0
50.055707,50.07823805
484.97129813,50.64349156
898.83545589,50.04507018
1340.978257,50.0
1752.00414072,50.39972952
2173.02172821,50.13783744
2696.28929434,50.36697569
3110.49145999,50.11687441
3525.61677066,50.39022078
3950.0,50.66883568
1611.04646665,1578.9639884
2462.27041152,2443.4203459
2455.33154073,1576.82185855
1567.90861627,2410.74351801
2453.838609,1151.41617435
1125.13568493,2406.60764617
2339.79740049,3320.35332225
3123.5154399,2295.15290516
716.16073509,1197.37628301
3148.51461824,1445.9221012
754.24546315,2888.12519001
1249.94102999,732.92923302
3226.9653001,3193.9853243
3408.23958003,625.99892106
