x,y
3647.31441586,2662.35356308
3342.83874774,1405.83112209
1206.21987918,3503.1499872
3648.97476571,2171.22336612
1286.50718121,354.80638677
2414.12228876,2547.90800992
261.24346745,2296.021812
651.43578431,3845.94715716
2909.03802949,3533.87031901
3259.41817159,104.03393781
175.56601604,757.88115313
2722.07153834,102.17201954
1569.62495512,3803.84042411
1636.49076564,1167.89189118
111.90087394,1529.72011124
754.19353167,997.95428497
2579.33244123,1489.81048438
1254.47305847,2979.46820525
730.85210496,2475.46434362
511.8878365,169.74272156
3437.22125014,637.57769473
1967.50374282,1706.89240076
3554.62977502,3808.40405534
2267.47982406,721.3892061
3856.42598825,589.92458179
2105.38410878,3381.70998313
1255.65162248,1805.02645417
3132.72836853,1988.91633177
1654.9739873,2260.87258162
2817.10186946,2391.33738827
1748.02356341,2939.2085232
1687.43533916,179.14390568
155.99356542,3800.68674777
2031.07486589,3838.54036488
3946.02608025,77.75207781
3891.74152103,3231.98762075
2843.34128021,876.42041022
3702.714869,1657.99666731
2756.04267944,3104.81013369
736.6566859,3166.49703091
2146.6781294,2116.04065083
338.86050277,3333.03915204
534.99897537,1637.51761099
1851.1289787,670.26678593
2609.36219689,3818.90918877
1192.36243933,1095.2981504
3186.66956154,3132.47386799
304.36144313,2713.49139718
923.39031369,158.96146752
3940.3829946,1056.38630133
