x,y
1596.36676121,138.45422947
977.41222868,3397.30858118
1371.70470451,531.2721245
2152.18943217,3880.48267978
1474.30494376,1761.45855404
145.58466423,170.67563354
2876.71154606,3241.47635077
578.94637377,3696.4916067
1392.52440778,2270.74510658
1791.96180458,2126.66951367
1172.20025507,1233.44428622
1276.35619279,3064.07883597
2331.18901678,291.90218119
2341.52245709,3525.57889301
3510.0296964,306.20498409
3407.70024525,2624.86909089
3946.70422003,1924.97876881
3793.33607545,1507.35748822
3460.18500294,805.0856397
2043.56499184,2815.61213104
3777.90578332,3084.70566871
762.17779674,148.1203289
749.75514296,1899.91662296
3224.65576059,1496.38742026
175.77767411,1383.17447608
672.94228433,2378.52148934
2254.93414603,711.87246433
1178.47195092,3940.70301147
2717.08265181,1296.4174027
2966.97119241,2489.45494755
448.92815815,740.20884466
2881.69941061,1785.83880112
185.04395974,1981.40952189
2969.26296853,3788.86913382
2853.66198343,81.1139672
3777.49797618,3493.83819141
1653.03887257,1287.00257804
763.13090013,1241.02433756
2441.31059335,2213.22435888
2239.50479809,1642.52236884
3918.47611465,2700.96671189
1663.29742039,3692.1217649
577.47046314,3218.57543382
77.07732733,3390.31945306
163.08420983,2685.67971257
3314.21289245,3409.40469451
3949.64802346,62.34615667
188.30677386,3924.57049728
3421.82260615,2099.06969608
3880.21797336,1037.58085478
