x,y
1599.56777077,93.70696067
977.69086085,3396.74435268
1385.660456,531.69559985
2152.72829952,3880.75702752
1475.16977927,1828.98303877
156.2256352,172.12015106
2879.6632848,3224.29584445
580.30376357,3688.43989335
1396.06929631,2270.6975568
1775.13695957,2112.00022028
1175.73037279,1233.17003113
1218.70782628,3066.72733004
2332.14457732,325.94905138
2337.48817619,3517.75127575
3511.48431567,313.43449385
3368.78037911,2603.46380248
3866.29908888,1925.38475969
3774.19438724,1511.07574697
3461.77646648,802.85640803
2042.81879021,2808.34950352
3770.12188504,3101.74269975
746.14373384,150.5462964
750.81296614,1882.14693237
3223.89166344,1502.6271973
180.61527334,1388.53927504
670.86268055,2357.21517467
2256.66008049,741.36611718
1177.30852739,3882.25072579
2715.78245101,1298.93391261
2971.06525856,2487.04235763
450.90950812,736.11169998
2884.57424705,1785.35243617
93.22534524,1983.19979709
2961.01578193,3747.47295462
2853.95122113,804.4982058
3945.07707014,3489.24277505
1652.47307651,1284.27462761
763.88665498,1237.97117534
2448.166687,2210.76038531
2242.77645543,1603.06975408
3905.47044191,2698.09870495
1665.43333142,3690.30115181
572.98158952,3217.26581343
100.8086209,3389.45117619
186.3913866,2750.50123058
3351.57752029,3408.00774111
3924.39050607,74.17474707
180.54735695,3820.09163964
3425.80751202,2120.04026762
3881.62212234,1039.68716322
