x,y
50.0,496.93888578
50.0,918.69868636
50.0,1359.57519902
50.0,1790.14929234
50.56357952,2209.20723064
50.0,2653.59135023
50.0,3083.11924169
50.0,3503.03265379
3950.0,524.53162545
3950.0,926.67592402
3949.99999991,1332.85577522
3949.90565497,1804.29829881
3950.0,2207.77790362
3949.99995547,2647.08077873
3950.0,3079.82096007
3950.0,3515.13412769
50.0035842,3950.0
534.03511482,3950.0
954.5988959,3949.9995221
1356.88624513,3949.99999952
1783.06805993,3950.0
2231.63355439,3950.0
2666.46283835,3950.0
3120.24253881,3949.9999997
3523.3037459,3950.0
3950.0,3950.0
50.0,50.0
499.8057287,50.0
907.82536648,50.00061716
1337.11944315,50.0
1766.39316172,50.0
2211.45800159,50.0
2698.05919882,50.0
3101.26406512,50.00002636
3515.46915651,50.00026593
3949.9808591,50.0
1089.63126429,2465.3128316
3041.83729182,1035.30863425
1464.36913518,2025.04096184
2788.81421252,3364.05638273
2383.46998552,2221.66476768
2495.28293331,1611.41558726
1609.2105865,3079.13422019
3160.89708684,2388.02900399
1552.71700327,1559.99053218
556.15317078,1365.05923332
2873.85027402,2872.55956133
2555.82976035,440.86230705
2059.96023836,3488.31086487
2209.75860545,1132.33690385
