x,y
50.0,486.51163647
50.26879149,906.00107575
50.0,1347.95746454
50.0,1791.4677675
50.92819043,2214.54356381
50.0,2631.93835859
50.0,3091.14081114
50.0,3527.7715759
3950.0,500.25443248
3950.0,913.44517011
3950.0,1334.95702143
3950.0,1776.63364906
3950.0,2224.78548425
3950.0,2696.14358138
3950.0,3114.29983917
3950.0,3523.48256201
50.0,3950.0
511.79222728,3950.0
915.82747042,3949.99999985
1346.77978943,3950.0
1749.42964449,3949.99999782
2196.50427237,3949.99969377
2649.18806599,3950.0
3069.18785307,3949.99159188
3481.08150943,3950.0
3950.0,3949.99999882
50.0,50.0
529.54109694,50.00002245
949.09507711,50.00194676
1359.20847119,50.00018079
1795.85662927,50.0
2206.99122816,50.0
2650.36445435,50.0
3072.95971019,50.0
3515.96573672,50.0
3950.0,50.00000001
995.44333643,3358.65660635
3182.4892979,3383.92087658
838.16157685,1366.13519493
1656.70307801,2538.94187805
3066.58763875,2382.05310136
3331.69158322,1652.66190385
2960.13245446,786.62951715
1647.09762384,1660.87292721
2572.40984497,475.06634583
1962.25959619,800.04226827
2320.8643217,2547.2248528
1194.60664961,1815.82097197
1132.76526698,2711.93604309
2398.18464062,1510.91436614
