x,y
50.0,514.05889917
50.0,916.39757299
50.0,1335.74432995
50.0,1784.97151505
50.0,2246.24970725
50.00000002,2680.6996446
50.00417299,3083.31046301
50.0,3519.04727094
3950.0,480.65631138
3949.97839165,916.8453001
3950.0,1348.29485321
3949.99870239,1783.01624449
3950.0,2218.41712915
3950.0,2638.73037016
3950.0,3046.13820857
3950.0,3526.23029903
50.0,3950.0
521.06034549,3950.0
935.14668621,3949.99769603
1337.3326655,3949.99999995
1763.41595657,3949.9686675
2228.08844661,3949.99784973
2650.44223159,3950.0
3078.93227121,3950.0
3486.32560814,3949.99485162
3950.0,3950.0
50.04814639,50.0
476.56708505,50.0
901.5938846,50.0
1324.92014961,50.0
1783.56801015,50.0
2232.61557988,50.0
2642.34722231,50.00025233
3065.69525196,50.08466587
3478.84137822,50.0000781
3950.0,50.0
2389.71521875,2901.41939823
3153.79141599,1187.13116666
1173.36493559,2902.82314806
1540.60435256,1539.06478871
1571.71146337,2431.19401627
1572.84426474,2873.40476954
2000.20161423,753.73692836 
3170.99812854,638.00188214
2847.85576827,1547.16471186
2755.61688716,3325.05511551
909.84288102,553.73692836
1120.37169375,1611.3777236
2835.27185969,2824.26323833
2389.99835222,1965.33379496
